season,player_id,name,pos,game_id,date,team,opp,home,toi,shots,goals,assists,pp_points
20252026,8484153,Leo Carlsson,C,2025021307,2026-04-16,ANA,NSH,0,18.533333333333335,7,0,1,1
20252026,8484153,Leo Carlsson,C,2025021296,2026-04-14,ANA,MIN,0,21.0,6,0,0,0
20252026,8484153,Leo Carlsson,C,2025021280,2026-04-12,ANA,VAN,1,17.966666666666665,3,1,0,0
20252026,8484153,Leo Carlsson,C,2025021258,2026-04-09,ANA,SJS,1,15.733333333333333,4,1,0,0
20252026,8484153,Leo Carlsson,C,2025021243,2026-04-07,ANA,NSH,1,21.75,2,0,0,0
20252026,8484153,Leo Carlsson,C,2025021219,2026-04-04,ANA,CGY,1,20.1,3,1,0,0
20252026,8484153,Leo Carlsson,C,2025021206,2026-04-03,ANA,STL,1,17.783333333333335,4,0,0,0
20252026,8484153,Leo Carlsson,C,2025021190,2026-04-01,ANA,SJS,0,19.8,5,0,0,0
20252026,8484153,Leo Carlsson,C,2025021176,2026-03-30,ANA,TOR,1,18.766666666666666,4,2,0,0
20252026,8484153,Leo Carlsson,C,2025021154,2026-03-28,ANA,EDM,0,18.366666666666667,1,0,0,0
20252026,8484153,Leo Carlsson,C,2025021147,2026-03-26,ANA,CGY,0,20.083333333333332,1,0,1,1
20252026,8484153,Leo Carlsson,C,2025021134,2026-03-24,ANA,VAN,0,19.716666666666665,3,0,2,0
20252026,8484153,Leo Carlsson,C,2025021117,2026-03-22,ANA,BUF,1,17.516666666666666,3,0,2,2
20252026,8484153,Leo Carlsson,C,2025021098,2026-03-20,ANA,UTA,0,17.733333333333334,2,0,0,0
20252026,8484153,Leo Carlsson,C,2025021082,2026-03-18,ANA,PHI,1,18.366666666666667,3,1,0,0
20252026,8484153,Leo Carlsson,C,2025021059,2026-03-15,ANA,MTL,0,16.266666666666666,5,2,1,0
20252026,8484153,Leo Carlsson,C,2025021043,2026-03-14,ANA,OTT,0,19.55,2,0,0,0
20252026,8484153,Leo Carlsson,C,2025021029,2026-03-12,ANA,TOR,0,19.85,4,0,0,0
20252026,8484153,Leo Carlsson,C,2025021022,2026-03-10,ANA,WPG,0,16.2,2,0,0,0
20252026,8484153,Leo Carlsson,C,2025021006,2026-03-08,ANA,STL,1,18.083333333333332,2,0,0,0
20252026,8484153,Leo Carlsson,C,2025020987,2026-03-06,ANA,MTL,1,17.5,4,1,1,0
20252026,8484153,Leo Carlsson,C,2025020973,2026-03-04,ANA,NYI,1,17.133333333333333,3,0,1,0
20252026,8484153,Leo Carlsson,C,2025020968,2026-03-03,ANA,COL,1,17.333333333333332,2,0,0,0
